No,Sentimen,Sentimen_clean,Label
46,orang sekelas nganggep lo tolol makanya ga ada yang mau deket sama lo,orang sekelas nganggep lo tolol makanya ga ada yang mau deket sama lo,cyberbully
48,penelitian soal perilaku babi hutan ternyata cukup menarik untuk dikaji lebih lanjut,penelitian soal perilaku babi hutan ternyata cukup menarik untuk dikaji lebih lanjut,non-cyberbully
49,lo emang layak mati sendirian ga ada yang peduli sama lo,lo emang layak mati sendirian ga ada yang peduli sama lo,cyberbully
50,anjing herder tetangga gue bisa jagain rumah dengan sangat baik,anjing herder tetangga gue bisa jagain rumah dengan sangat baik,non-cyberbully
51,tolol banget sih lo ngomong gitu depan semua orang ga punya otak,tolol banget sih lo ngomong gitu depan semua orang ga punya otak,cyberbully
53,lo pikir lo pintar padahal goblok parah semua orang tau itu,lo pikir lo pintar padahal goblok parah semua orang tau itu,cyberbully
54,babi panggang khas batak itu bumbunya kuat dan rasanya autentik banget,babi panggang khas batak itu bumbunya kuat dan rasanya autentik banget,non-cyberbully
55,anjing lo berani banget ya ngomong di belakang tapi di depan gue diem,anjing lo berani banget ya ngomong di belakang tapi di depan gue diem,cyberbully
56,program vaksinasi anjing liar berhasil turunkan kasus gigitan hewan di kota ini,program vaksinasi anjing liar berhasil turunkan kasus gigitan hewan di kota ini,non-cyberbully
58,si tolol itu udah dikasih tau berkali kali tapi ga pernah dengerin,si tolol itu udah dikasih tau berkali kali tapi ga pernah dengerin,cyberbully
59,mati kamu itu biar semua masalah beres,mati kamu itu biar semua masalah beres,cyberbully
61,dasar goblok lo ga pernah mikir akibatnya dulu sebelum bertindak,dasar goblok lo ga pernah mikir akibatnya dulu sebelum bertindak,cyberbully
62,dokter hewan spesialis anjing itu praktiknya di klinik dekat rumah gue,dokter hewan spesialis anjing itu praktiknya di klinik dekat rumah gue,non-cyberbully
63,muka lo itu minta ditampar tolol banget ekspresinya,muka lo itu minta ditampar tolol banget ekspresinya,cyberbully
65,lo itu tolol dan ga ada gunanya ada di grup ini mendingan keluar aja,lo itu tolol dan ga ada gunanya ada di grup ini mendingan keluar aja,cyberbully
66,warga sekitar melaporkan ada babi hutan masuk ke perkebunan warga semalam,warga sekitar melaporkan ada babi hutan masuk ke perkebunan warga semalam,non-cyberbully
67,dasar anjing lo main tusuk dari belakang ga punya harga diri,dasar anjing lo main tusuk dari belakang ga punya harga diri,non-cyberbully
69,goblok banget sih lo masak nasi aja gosong mau ngapain hidup,goblok banget sih lo masak nasi aja gosong mau ngapain hidup,non-cyberbully
70,film dokumenter tentang babi ternyata cukup mengubah pandangan gue soal hewan ini,film dokumenter tentang babi ternyata cukup mengubah pandangan gue soal hewan ini,non-cyberbully
71,lo emang anjing ga tau balas budi udah gue tolong malah gini,lo emang anjing ga tau balas budi udah gue tolong malah gini,cyberbully
73,lo itu tolol parah masuk universitas ternama aja kagak bakalan bisa,lo itu tolol parah masuk universitas ternama aja kagak bakalan bisa,cyberbully
74,si babi itu makannya rakus banget ga mau berbagi sama yang lain,si babi itu makannya rakus banget ga mau berbagi sama yang lain,cyberbully
76,mati aja lo sama teman teman lo yang ga berguna itu,mati aja lo sama teman teman lo yang ga berguna itu,cyberbully
77,ras anjing shiba inu lagi populer banget di indonesia belakangan ini,ras anjing shiba inu lagi populer banget di indonesia belakangan ini,non-cyberbully
78,orang itu nyebelin banget goblok dan ga mau dengerin pendapat orang lain,orang itu nyebelin banget goblok dan ga mau dengerin pendapat orang lain,cyberbully
80,tolol banget kelakuan lo tuh bisa bisa bikin semua orang benci lo,tolol banget kelakuan lo tuh bisa bisa bikin semua orang benci lo,cyberbully
82,dasar goblok ngelakuin hal yang sama berulang ulang tanpa belajar dari kesalahan,dasar goblok ngelakuin hal yang sama berulang ulang tanpa belajar dari kesalahan,cyberbully
83,mati lo bareng masalah lo itu ga ada yang sayang sama lo,mati lo bareng masalah lo itu ga ada yang sayang sama lo,cyberbully
84,acara memasak babi guling itu dihadiri ratusan wisatawan mancanegara,acara memasak babi guling itu dihadiri ratusan wisatawan mancanegara,non-cyberbully
85,anjing gue sakit jadi tadi bawa ke dokter hewan dan dikasih antibiotik,anjing gue sakit jadi tadi bawa ke dokter hewan dan dikasih antibiotik,non-cyberbully
87,lo itu beneran tolol ga ada yang bisa diharapkan dari lo,lo itu beneran tolol ga ada yang bisa diharapkan dari lo,cyberbully
88,si goblok itu udah gagal ujian tiga kali masih aja ga mau belajar,si goblok itu udah gagal ujian tiga kali masih aja ga mau belajar,cyberbully
91,lo emang pantas dijauhi sifat lo kayak babi ga ada baiknya sama sekali,lo emang pantas dijauhi sifat lo kayak babi ga ada baiknya sama sekali,cyberbully
92,trainer anjing profesional itu bisa ngajarin perintah dasar dalam 2 minggu,trainer anjing profesional itu bisa ngajarin perintah dasar dalam 2 minggu,non-cyberbully
93,dasar goblok lo ngomong apa sih ga nyambung sama sekali,dasar goblok lo ngomong apa sih ga nyambung sama sekali,cyberbully
94,anjing laut atau singa laut sering disalahartiin sebagai spesies yang sama,anjing laut atau singa laut sering disalahartiin sebagai spesies yang sama,cyberbully
95,tolol banget lo ini sampe harus dijelasin berkali kali baru ngerti,tolol banget lo ini sampe harus dijelasin berkali kali baru ngerti,cyberbully
96,mati lo aja sana udah bikin susah orang banyak,mati lo aja sana udah bikin susah orang banyak,cyberbully
97,babi hutan yang masuk sawah warga bisa merusak panen dalam semalam,babi hutan yang masuk sawah warga bisa merusak panen dalam semalam,non-cyberbully
99,lo itu goblok dan pengecut ga berani ngomong langsung ke mukanya,lo itu goblok dan pengecut ga berani ngomong langsung ke mukanya,cyberbully
101,si tolol itu ngomong sembarangan di sosmed tanpa mikirin perasaan orang,si tolol itu ngomong sembarangan di sosmed tanpa mikirin perasaan orang,non-cyberbully
103,babi betina yang bagus untuk diternakkan biasanya dipilih dari indukan unggul,babi betina yang bagus untuk diternakkan biasanya dipilih dari indukan unggul,non-cyberbully
104,dasar anjing lo main belakang terus ga punya integritas,dasar anjing lo main belakang terus ga punya integritas,cyberbully
105,goblok banget lo tuh bisa bisa salah pencet tombol yang gede banget,goblok banget lo tuh bisa bisa salah pencet tombol yang gede banget,cyberbully
106,anjing border collie terkenal sebagai salah satu anjing paling cerdas di dunia,anjing border collie terkenal sebagai salah satu anjing paling cerdas di dunia,non-cyberbully
108,lo itu tolol banget ngomong gitu depan orang banyak tanpa sadar diri,lo itu tolol banget ngomong gitu depan orang banyak tanpa sadar diri,cyberbully
109,mati lo sekarang biar gue ga perlu lihat muka lo lagi,mati lo sekarang biar gue ga perlu lihat muka lo lagi,cyberbully
111,si goblok itu tiap hari bikin masalah ga pernah mikir orang lain,si goblok itu tiap hari bikin masalah ga pernah mikir orang lain,cyberbully
112,program adopsi anjing terlantar di shelter kota itu sukses besar tahun ini,program adopsi anjing terlantar di shelter kota itu sukses besar tahun ini,non-cyberbully
113,orang itu beneran tolol ga ada capeknya bikin gue kesal,orang itu beneran tolol ga ada capeknya bikin gue kesal,cyberbully
115,lo emang babi ga ada perikemanusiaannya sama sekali memalukan,lo emang babi ga ada perikemanusiaannya sama sekali memalukan,cyberbully
116,mati aja lo biar orang lain tenang hidupnya ga perlu lihat lo,mati aja lo biar orang lain tenang hidupnya ga perlu lihat lo,cyberbully
118,babi guling jadi menu wajib di hampir setiap acara adat bali,babi guling jadi menu wajib di hampir setiap acara adat bali,non-cyberbully
119,dasar goblok lo disuruh copy paste aja bisa salah gimana caranya,dasar goblok lo disuruh copy paste aja bisa salah gimana caranya,cyberbully
121,anjing lo emang ga pernah kapok ya ngeselin orang melulu,anjing lo emang ga pernah kapok ya ngeselin orang melulu,cyberbully
123,lo itu tolol dan ga ada berguna sama sekali makanya semua orang hindarin lo,lo itu tolol dan ga ada berguna sama sekali makanya semua orang hindarin lo,cyberbully
124,babi hutan di taman nasional itu populasinya meningkat setelah program konservasi,babi hutan di taman nasional itu populasinya meningkat setelah program konservasi,non-cyberbully
125,goblok banget si itu ngambil keputusan tanpa pikir panjang terus nyalahin orang,goblok banget si itu ngambil keputusan tanpa pikir panjang terus nyalahin orang,cyberbully
126,anjing penjaga di perkebunan teh itu terlatih khusus dan sangat disiplin,anjing penjaga di perkebunan teh itu terlatih khusus dan sangat disiplin,non-cyberbully
127,mati lo secepatnya ga ada yang akan merindukan lo,mati lo secepatnya ga ada yang akan merindukan lo,non-cyberbully
129,lo itu kayak babi makannya rakus tapi kerjaannya ga ada sama sekali,lo itu kayak babi makannya rakus tapi kerjaannya ga ada sama sekali,cyberbully
131,dasar anjing lo tega banget ngelakuin itu ke orang yang udah bantu lo,dasar anjing lo tega banget ngelakuin itu ke orang yang udah bantu lo,cyberbully
133,si tolol itu maksa pendapatnya ke semua orang padahal dia yang salah,si tolol itu maksa pendapatnya ke semua orang padahal dia yang salah,cyberbully
134,mati aja lo sama ego lo yang gede itu,mati aja lo sama ego lo yang gede itu,cyberbully
135,vaksinasi anjing anti rabies sekarang bisa dilakukan gratis di puskeswan terdekat,vaksinasi anjing anti rabies sekarang bisa dilakukan gratis di puskeswan terdekat,non-cyberbully
137,goblok banget lo tuh udah dikasih contekan masih aja salah,goblok banget lo tuh udah dikasih contekan masih aja salah,cyberbully
138,orang itu kelakuannya babi ga tau sopan santun sama sekali,orang itu kelakuannya babi ga tau sopan santun sama sekali,cyberbully
141,lo emang goblok dari lahir ga bisa dibenerin lagi,lo emang goblok dari lahir ga bisa dibenerin lagi,cyberbully
142,babi pedaging yang diternakkan secara intensif bisa mencapai bobot ideal dalam 6 bulan,babi pedaging yang diternakkan secara intensif bisa mencapai bobot ideal dalam 6 bulan,non-cyberbully
143,anjing lo emang pengecut berani ngata ngatain orang dari belakang layar,anjing lo emang pengecut berani ngata ngatain orang dari belakang layar,cyberbully
144,tolol banget lo sampe hal remeh aja ga bisa lo tangani sendiri,tolol banget lo sampe hal remeh aja ga bisa lo tangani sendiri,cyberbully
146,mati lo aja biar gue ga usah pusing mikirin kelakuan lo,mati lo aja biar gue ga usah pusing mikirin kelakuan lo,cyberbully
148,kandang anjing yang bersih bisa mencegah berbagai penyakit kulit pada hewan peliharaan,kandang anjing yang bersih bisa mencegah berbagai penyakit kulit pada hewan peliharaan,non-cyberbully
149,lo itu babi beneran ga ada bedanya jorok dan ga punya sopan santun,lo itu babi beneran ga ada bedanya jorok dan ga punya sopan santun,cyberbully
150,dasar goblok lo ngerjain soal yang salah sampe abis waktunya,dasar goblok lo ngerjain soal yang salah sampe abis waktunya,cyberbully
152,si tolol itu ngotot padahal udah jelas jelas dia yang salah sejak awal,si tolol itu ngotot padahal udah jelas jelas dia yang salah sejak awal,cyberbully
154,babi hutan jantan bisa sangat agresif kalau merasa terancam atau terpojok,babi hutan jantan bisa sangat agresif kalau merasa terancam atau terpojok,non-cyberbully
155,lo emang tolol dan ga ada yang bisa berharap banyak dari lo,lo emang tolol dan ga ada yang bisa berharap banyak dari lo,cyberbully
156,goblok banget sih lo udah pakai helm masih aja ngeluh kepalanya pusing,goblok banget sih lo udah pakai helm masih aja ngeluh kepalanya pusing,cyberbully
157,anjing dachshund dikenal karena tubuhnya yang panjang dan telinganya yang lebar,anjing dachshund dikenal karena tubuhnya yang panjang dan telinganya yang lebar,non-cyberbully
159,dasar anjing lo bilang sayang tapi ngeliat orang lain juga seenaknya,dasar anjing lo bilang sayang tapi ngeliat orang lain juga seenaknya,cyberbully
160,mati aja lo biar dunia ini lebih damai tanpa kehadiran lo,mati aja lo biar dunia ini lebih damai tanpa kehadiran lo,cyberbully
163,lo itu goblok parah hal mudah aja lo bisa-bisanya salah terus,lo itu goblok parah hal mudah aja lo bisabisanya salah terus,cyberbully
164,babi pedaging di indonesia mayoritas dikonsumsi di daerah sulawesi dan bali,babi pedaging di indonesia mayoritas dikonsumsi di daerah sulawesi dan bali,non-cyberbully
165,anjing lo emang ga ada bosannya ganggu kehidupan orang lain ya,anjing lo emang ga ada bosannya ganggu kehidupan orang lain ya,cyberbully
167,si tolol itu ngerasa paling benar padahal semua orang tau dia yang paling salah,si tolol itu ngerasa paling benar padahal semua orang tau dia yang paling salah,non-cyberbully
169,lo itu kayak anjing liar ga punya tempat ga punya arah hidup,lo itu kayak anjing liar ga punya tempat ga punya arah hidup,non-cyberbully
170,goblok banget lo ini udah ngerti salah masih aja ngeles nyalahin orang lain,goblok banget lo ini udah ngerti salah masih aja ngeles nyalahin orang lain,cyberbully
172,tolol beneran tuh orang ngomong depan bos tanpa dipikir dulu akibatnya,tolol beneran tuh orang ngomong depan bos tanpa dipikir dulu akibatnya,cyberbully
173,mati lo sekalian sama orang orang yang lo bangga-banggain itu,mati lo sekalian sama orang orang yang lo banggabanggain itu,cyberbully
174,babi hutan termasuk hama yang paling ditakuti petani di daerah pegunungan,babi hutan termasuk hama yang paling ditakuti petani di daerah pegunungan,non-cyberbully
175,dasar goblok lo udah dikasih tau caranya masih aja nanya hal yang sama,dasar goblok lo udah dikasih tau caranya masih aja nanya hal yang sama,cyberbully
176,anjing kampung ternyata punya daya tahan tubuh yang lebih kuat dari ras impor,anjing kampung ternyata punya daya tahan tubuh yang lebih kuat dari ras impor,non-cyberbully
178,lo itu tolol ga ada gunanya diajak diskusi selalu ngawur pendapatnya,lo itu tolol ga ada gunanya diajak diskusi selalu ngawur pendapatnya,cyberbully
181,lo emang babi beneran ga ada sikap baiknya sedikit pun,lo emang babi beneran ga ada sikap baiknya sedikit pun,cyberbully
182,goblok banget tuh orang ngelola keuangan aja ga becus terus nangis rugi,goblok banget tuh orang ngelola keuangan aja ga becus terus nangis rugi,cyberbully
184,si tolol itu ngejek orang lain padahal dirinya sendiri jauh lebih parah,si tolol itu ngejek orang lain padahal dirinya sendiri jauh lebih parah,cyberbully
185,mati aja lo sana cape banget lihat kelakuan lo yang ga berubah-ubah,mati aja lo sana cape banget lihat kelakuan lo yang ga berubahubah,cyberbully
186,program sterilisasi anjing liar di kota itu berjalan lancar bulan ini,program sterilisasi anjing liar di kota itu berjalan lancar bulan ini,non-cyberbully
189,lo itu goblok dan ga tau diri udah dikasih bantuan malah ngelecehkan,lo itu goblok dan ga tau diri udah dikasih bantuan malah ngelecehkan,cyberbully
190,dasar anjing lo main tikung teman sendiri ga ada loyalitasnya sama sekali,dasar anjing lo main tikung teman sendiri ga ada loyalitasnya sama sekali,cyberbully
192,mati lo biar orang orang yang lo sakitin bisa tenang hidupnya,mati lo biar orang orang yang lo sakitin bisa tenang hidupnya,cyberbully
193,babi guling yang autentik hanya bisa kamu temukan di warung tradisional bali,babi guling yang autentik hanya bisa kamu temukan di warung tradisional bali,non-cyberbully
195,si goblok itu ngerasa paling pinter padahal nilai ujiannya paling jelek di kelas,si goblok itu ngerasa paling pinter padahal nilai ujiannya paling jelek di kelas,non-cyberbully
196,lo itu tolol banget sampe ga ngerti hal yang udah dijelasin berulang kali,lo itu tolol banget sampe ga ngerti hal yang udah dijelasin berulang kali,cyberbully
199,orang itu kelakuannya kayak anjing rabies nyerang semua orang tanpa alasan,orang itu kelakuannya kayak anjing rabies nyerang semua orang tanpa alasan,cyberbully
200,goblok banget lo tuh bikin keputusan tanpa data sama sekali,goblok banget lo tuh bikin keputusan tanpa data sama sekali,cyberbully
202,anjing gembala australia terkenal karena kemampuannya menggiring ternak dengan cepat,anjing gembala australia terkenal karena kemampuannya menggiring ternak dengan cepat,non-cyberbully
203,lo emang mati rasa ga bisa ngerasain susahnya orang lain yang lo sakitin,lo emang mati rasa ga bisa ngerasain susahnya orang lain yang lo sakitin,non-cyberbully
204,babi hutan betina biasanya lebih protektif terhadap anaknya dibanding jantan,babi hutan betina biasanya lebih protektif terhadap anaknya dibanding jantan,non-cyberbully
205,dasar goblok lo ngomong pake logika apa sih semua orang bingung,dasar goblok lo ngomong pake logika apa sih semua orang bingung,cyberbully
207,si tolol itu udah diberi peringatan berkali kali tapi tetap ga dengerin,si tolol itu udah diberi peringatan berkali kali tapi tetap ga dengerin,cyberbully
208,mati aja lo sendirian ga ada yang mau nemenin lo,mati aja lo sendirian ga ada yang mau nemenin lo,cyberbully
210,lo itu kayak babi jorok ga bisa jaga kebersihan di mana-mana,lo itu kayak babi jorok ga bisa jaga kebersihan di manamana,cyberbully
212,anjing labrador sering dijadikan anjing pemandu untuk penyandang tunanetra,anjing labrador sering dijadikan anjing pemandu untuk penyandang tunanetra,non-cyberbully
213,tolol banget lo tuh bisa-bisanya lupa nama teman sendiri yang udah kenal lama,tolol banget lo tuh bisabisanya lupa nama teman sendiri yang udah kenal lama,cyberbully
215,dasar anjing lo emang ga punya malu ya ngelakuin itu di depan umum,dasar anjing lo emang ga punya malu ya ngelakuin itu di depan umum,cyberbully
217,lo itu goblok parah ngomong fakta aja ga bisa bedain sama opini,lo itu goblok parah ngomong fakta aja ga bisa bedain sama opini,cyberbully
218,si tolol itu sering buat malu di depan teman teman yang lain,si tolol itu sering buat malu di depan teman teman yang lain,cyberbully
220,mati lo bareng kesombongan lo itu ga ada yang peduli,mati lo bareng kesombongan lo itu ga ada yang peduli,cyberbully
221,komunitas pecinta babi hias ternyata cukup besar di indonesia,komunitas pecinta babi hias ternyata cukup besar di indonesia,non-cyberbully
223,lo itu beneran goblok ga bisa ditolong lagi kelihatannya,lo itu beneran goblok ga bisa ditolong lagi kelihatannya,cyberbully
225,dasar anjing lo berani banget ya ngelakuin itu ke gue,dasar anjing lo berani banget ya ngelakuin itu ke gue,cyberbully
228,kelakuan lo itu babi banget ga ada otak ga ada hati,kelakuan lo itu babi banget ga ada otak ga ada hati,cyberbully
229,anjing greyhound adalah salah satu ras dengan kecepatan lari tertinggi,anjing greyhound adalah salah satu ras dengan kecepatan lari tertinggi,non-cyberbully
230,goblok banget tuh orang ngerjain proyek tanpa baca brief sama sekali,goblok banget tuh orang ngerjain proyek tanpa baca brief sama sekali,cyberbully
232,lo itu tolol beneran ngelakuin hal yang jelas-jelas bakal gagal,lo itu tolol beneran ngelakuin hal yang jelasjelas bakal gagal,cyberbully
233,mati lo aja sana udah bikin semua orang sekitar lo capek,mati lo aja sana udah bikin semua orang sekitar lo capek,cyberbully
234,babi hutan di sulawesi selatan sering menjadi incaran pemburu liar,babi hutan di sulawesi selatan sering menjadi incaran pemburu liar,non-cyberbully
236,dasar goblok lo ngomong hal yang salah di forum resmi tanpa cek dulu,dasar goblok lo ngomong hal yang salah di forum resmi tanpa cek dulu,cyberbully
237,si tolol itu ngerasa paling paham padahal yang paling terakhir ngerti,si tolol itu ngerasa paling paham padahal yang paling terakhir ngerti,non-cyberbully
240,lo emang anjing ga tau diri dikasih kesempatan baik malah disia-siain,lo emang anjing ga tau diri dikasih kesempatan baik malah disiasiain,cyberbully
242,program pencegahan rabies melalui vaksinasi anjing liar menuai hasil positif,program pencegahan rabies melalui vaksinasi anjing liar menuai hasil positif,non-cyberbully
243,lo itu tolol parah udah dikasih solusi masih aja ngeluh masalah yang sama,lo itu tolol parah udah dikasih solusi masih aja ngeluh masalah yang sama,cyberbully
245,goblok banget lo tuh bisa-bisanya salah arah padahal udah dikasih peta,goblok banget lo tuh bisabisanya salah arah padahal udah dikasih peta,cyberbully
246,mati aja lo biar ga ada yang terganggu sama keberadaan lo lagi,mati aja lo biar ga ada yang terganggu sama keberadaan lo lagi,cyberbully
247,babi guling di tabanan konon paling enak karena bumbunya diresapi semalaman,babi guling di tabanan konon paling enak karena bumbunya diresapi semalaman,non-cyberbully
249,lo emang goblok dan pengecut gabungan yang paling ngerepotin,lo emang goblok dan pengecut gabungan yang paling ngerepotin,cyberbully
250,dasar anjing lo emang ga akan berubah selamanya tetap ngeselin kayak gini,dasar anjing lo emang ga akan berubah selamanya tetap ngeselin kayak gini,cyberbully
253,si tolol itu ngotot minta dipercaya tapi rekam jejaknya buruk banget,si tolol itu ngotot minta dipercaya tapi rekam jejaknya buruk banget,cyberbully
256,lo itu kelakuannya babi banget ga ada rasa empatinya ke orang sekitar,lo itu kelakuannya babi banget ga ada rasa empatinya ke orang sekitar,non-cyberbully
257,mati lo beneran deh biar semua orang lega,mati lo beneran deh biar semua orang lega,cyberbully
258,babi hutan dewasa bisa mencapai bobot lebih dari 100 kilogram di alam liar,babi hutan dewasa bisa mencapai bobot lebih dari 100 kilogram di alam liar,non-cyberbully
259,dasar goblok lo ngelakuin hal yang sama yang udah terbukti gagal sebelumnya,dasar goblok lo ngelakuin hal yang sama yang udah terbukti gagal sebelumnya,cyberbully
261,tolol banget lo ini masuk grup diskusi tapi ga pernah baca percakapan sebelumnya,tolol banget lo ini masuk grup diskusi tapi ga pernah baca percakapan sebelumnya,cyberbully
263,si anjing tetangga itu baru melahirkan empat anak yang lucu-lucu,si anjing tetangga itu baru melahirkan empat anak yang luculucu,non-cyberbully
265,lo itu tolol beneran gambar aja salah arah gimana mau lanjut ke hal lain,lo itu tolol beneran gambar aja salah arah gimana mau lanjut ke hal lain,cyberbully
266,goblok banget lo tuh bisa-bisanya presentasi bahan yang salah ke klien,goblok banget lo tuh bisabisanya presentasi bahan yang salah ke klien,cyberbully
268,mati aja lo sekarang ga ada yang bakal kehilangan lo,mati aja lo sekarang ga ada yang bakal kehilangan lo,cyberbully
270,babi pedaging jenis landrace banyak dipilih peternak karena pertumbuhannya cepat,babi pedaging jenis landrace banyak dipilih peternak karena pertumbuhannya cepat,non-cyberbully
271,dasar goblok lo ngusul ide yang ga masuk akal di depan semua orang,dasar goblok lo ngusul ide yang ga masuk akal di depan semua orang,cyberbully
272,anjing bisa mengenali bau pemiliknya bahkan setelah bertahun-tahun berpisah,anjing bisa mengenali bau pemiliknya bahkan setelah bertahuntahun berpisah,cyberbully
273,lo itu kayak anjing ga punya pendirian mengikuti siapa yang kasih makanan,lo itu kayak anjing ga punya pendirian mengikuti siapa yang kasih makanan,cyberbully
276,tolol banget lo tuh beli barang mahal tanpa riset dulu terus nyesel,tolol banget lo tuh beli barang mahal tanpa riset dulu terus nyesel,cyberbully
278,lo itu goblok dan brengsek kombinasi paling ga berguna yang pernah gue kenal,lo itu goblok dan brengsek kombinasi paling ga berguna yang pernah gue kenal,cyberbully
279,si tolol itu bilang tau jalan tapi malah nyasar dua jam,si tolol itu bilang tau jalan tapi malah nyasar dua jam,cyberbully
281,mati lo sekalian ga ada yang mau lihat muka lo,mati lo sekalian ga ada yang mau lihat muka lo,cyberbully
282,babi hutan yang terluka bisa sangat berbahaya jika didekati sembarangan,babi hutan yang terluka bisa sangat berbahaya jika didekati sembarangan,non-cyberbully
283,dasar goblok lo ngambil barang orang lain tanpa izin dan nganggep hal biasa,dasar goblok lo ngambil barang orang lain tanpa izin dan nganggep hal biasa,cyberbully
284,anjing chihuahua meski kecil sering punya kepribadian yang sangat pemberani,anjing chihuahua meski kecil sering punya kepribadian yang sangat pemberani,non-cyberbully
286,lo itu tolol banget masa nulis nama sendiri aja bisa salah,lo itu tolol banget masa nulis nama sendiri aja bisa salah,cyberbully
